town,TOTAL_UNITS,TOTAL_VALUE,UNITS_1_UNIT,UNITS_2_UNITS,UNITS_3_4_UNITS,UNITS_5_UNITS,VALUE_1_UNIT,VALUE_2_UNITS,VALUE_3_4_UNITS,VALUE_5_UNITS
Boonton Town,5881,662005787,3661,64,0,2156,517564577,4260000,0,140181210
Boonton Township,5384,1334742305,4893,12,82,397,1311449920,566000,3332600,19393785
Butler Borough,5413,474002564,3748,4,44,1617,347350976,346500,4983000,121322088
Chatham Borough,7086,1660210361,3022,56,235,3773,876560681,4740000,18874000,760035680
Chatham Township,10641,3017316723,7358,12,39,3232,2812435960,3846012,13645840,187388911
Chester Borough,6429,747119545,2017,0,93,4319,401125745,0,7384200,338609600
Chester Township,7841,1812558063,7719,122,0,0,1793373563,19184500,0,0
Denville Township,15490,2124881225,12583,6,1118,1783,1781517256,330000,159553806,183480163
Dover Town,8592,784003910,2325,142,115,6010,238219451,7408150,4516954,533859355
East Hanover Township,11680,1399014265,7669,20,0,3991,1163139849,1000000,0,234874416
Florham Park Borough,22278,2887639842,16758,0,594,4926,2383195755,0,19505012,484939075
Hanover Township,21023,2266085181,9855,34,104,11030,1283737419,1464516,4768860,976114386
Harding Township,2758,1913176133,2712,0,46,0,1908353333,0,4822800,0
Jefferson Township,17127,1715460749,15376,8,22,1721,1640033795,467000,1409500,73550454
Kinnelon Borough,5976,1626823443,5976,0,0,0,1626823443,0,0,0
Lincoln Park Borough,3338,332029910,1829,268,0,1241,297178766,13211144,0,21640000
Long Hill Township,1489,364543810,1489,0,0,0,364543810,0,0,0
Madison Borough,9463,2029360856,5142,642,1518,2161,1608721653,40786583,66995391,312857229
Mendham Borough,7986,743478123,7959,6,21,0,742912811,497000,68312,0
Mendham Township,4765,1363618448,4644,0,73,48,1360468448,0,2190000,960000
Mine Hill Township,2355,220076278,1986,0,24,345,183719078,0,1029200,35328000
Montville Township,33719,4699027973,26094,8,4,7613,3541569098,700000,403000,1156355875
Morris Plains Borough,14025,1851951923,5575,0,0,8450,1148685223,0,0,703266700
Morris Township,19084,2945877242,16890,2,275,1917,2837162227,100000,28241084,80373931
Morristown Town,23788,3431069055,3128,354,657,19649,785755357,24532169,54445026,2566336503
Mount Arlington Borough,17896,1360656165,8658,22,278,8938,902770290,154000,16819144,440912731
Mount Olive Township,26084,3438034193,24705,28,0,1351,3309854198,5694500,0,122485495
Mountain Lakes Borough,3673,823675058,3633,0,40,0,821225058,0,2450000,0
Netcong Borough,1004,306068577,524,100,0,380,48708577,5000000,0,252360000
Parsippany-Troy Hills Township,22431,2399709507,21797,22,67,545,2378116833,612700,2157000,18822974
Pequannock Township,17193,1516493094,8296,6,94,8797,804997968,2400,8967200,702525526
Randolph Township,23194,2996694354,17266,88,0,5840,2555225320,6896220,0,434572814
Riverdale Borough,17576,889054764,1984,16,24,15552,255316335,1600000,3459000,628679429
Rockaway Borough,1386,118416665,1174,40,0,172,107356030,2738900,0,8321735
Rockaway Township,38355,2780263199,13767,26,99,24463,1941510079,1189500,7861024,829702596
Roxbury Township,21952,1829430933,14354,0,403,7195,1455032066,0,10068630,364330237
Victory Gardens Borough,370,21468200,197,18,0,155,9033200,1710000,0,10725000
Washington Township,12330,2070194547,12028,48,54,200,2052797806,11212880,1620000,4563861
Wharton Borough,14794,601563692,1549,84,18,13143,155606606,5244492,2837070,437875524
