img,building_percent,overlap_percent
10,0.09,9.67
119,2.75,18.02
131,2.44,29.3
136,0.0,12.27
145,5.73,15.31
147,2.48,45.18
167,8.06,14.51
173,14.09,33.69
188,2.89,8.43
191,1.04,22.64
1,2.21,13.0
20,3.43,17.28
226,4.43,18.25
227,1.34,9.64
288,4.04,9.17
296,6.91,28.63
304,2.39,9.77
305,1.29,13.9
310,0.66,18.01
311,0.62,16.68
320,24.15,36.17
327,13.28,39.43
330,4.82,21.44
337,1.2,7.83
342,0.68,16.62
34,0.98,21.12
371,4.14,35.58
37,3.52,16.3
380,2.96,13.7
381,3.45,13.6
382,3.48,13.68
389,5.91,41.92
394,14.18,25.51
3,1.58,19.72
44,1.0,29.3
4,5.97,23.5
66,2.52,39.52
68,2.6,10.6
6,2.55,34.22
79,1.72,32.03
82,3.21,12.6
83,6.12,21.76
84,4.18,26.54
