town,SUM_BLACK_SVC,SUM_WHITE_SVC,SUM_HISP_SVC,SUM_HHILOWSVCA,SUM_HHIMEDSVCA,SUM_HHIHIGHSVCA,Park_Size_Acres
Boonton Town,0.05127427184466019,0.6293487055016181,0.15604773462783172,0.10487459546925566,0.08434466019417476,0.19124190938511326,92.46105458956083
Butler Borough,0.015903197925669837,0.6964563526361279,0.2153846153846154,0.11702679343128781,0.1327571305099395,0.16871218668971477,3.7430264033919967
Chatham Borough,0.009262250942380184,0.7771674744211093,0.06903607969843834,0.03640280021540118,0.03844911147011309,0.2610662358642973,33.3242526039234
Chatham Township,0.018290089323692044,0.7761236353324826,0.0696157663405643,0.035587693180207006,0.05331064795122643,0.2634339997164327,613.8650903683796
Chester Borough,0.0026041666666666665,0.7517361111111112,0.17100694444444445,0.08854166666666667,0.0642361111111111,0.2204861111111111,14.44411145785833
Chester Township,0.004405286343612335,0.7709251101321586,0.14096916299559473,0.06167400881057269,0.06167400881057269,0.2422907488986784,71.9819085373566
Dover Town,0.04053292339226236,0.1935690494491417,0.7150909556751217,0.10197284140404816,0.09198052779912888,0.12213681783243659,452.8659951089925
Florham Park Borough,0.014419225634178905,0.8259012016021362,0.051535380507343125,0.06008010680907877,0.05847797062750334,0.2499332443257677,67.79530198413624
Hanover Township,0.0,0.8048780487804879,0.04878048780487805,0.12195121951219512,0.0975609756097561,0.1951219512195122,152.51295967016
Jefferson Township,0.023026315789473683,0.7368421052631579,0.15789473684210525,0.08223684210526316,0.0756578947368421,0.2138157894736842,2996.96215343321
Kinnelon Borough,0.011210762331838564,0.8002445984508765,0.08662861801875255,0.04688136975132491,0.07134121483897268,0.2509172441907868,1814.784985964542
Lincoln Park Borough,0.01440460947503201,0.7534144259496373,0.13647033717456253,0.05868544600938967,0.10616730687153222,0.200917626973965,92.08993687571291
Madison Borough,0.025933531067001293,0.70134610997034,0.15290136132025248,0.07270514868050802,0.0620579511749943,0.22982736329758918,175.54744826506538
Mendham Borough,0.006911344137273594,0.8596282173498571,0.05910390848427073,0.04575786463298379,0.0548141086749285,0.26048617731172546,252.3247442157092
Morris Plains Borough,0.031912199240185735,0.7388771633600676,0.12460953989024905,0.048121570282819756,0.08281975517095821,0.26762346981848883,105.8191046640558
Morristown Town,0.09292636257021171,0.44163940497500154,0.3811647429171039,0.09524103450404296,0.09891364730572187,0.22307264983642985,175.3153322232798
Mount Arlington Borough,0.027306530327678363,0.7282128747385544,0.1487334417848013,0.0828491749941901,0.10829653729955845,0.22693469672321637,1888.3230710683597
Mount Olive Township,0.03933043004899292,0.6728361458900382,0.14657049537289057,0.06573217201959716,0.09907457811649428,0.1810016330974415,993.1325922428073
Mountain Lakes Borough,0.013243167089320936,0.7210481825866442,0.07044237813468583,0.05255001408847563,0.04592843054381516,0.23584108199492815,865.0793751800925
Netcong Borough,0.035996936430942046,0.6392647434260914,0.23997957620628033,0.12586162879754914,0.12101097778912433,0.14985958641817718,30.361247813554456
Parsippany-Troy Hills Township,0.01395709485655208,0.6549495993796847,0.08141638666322047,0.033600413543551304,0.06668389764797106,0.2331351770483329,414.29101532256385
Pequannock Township,0.0125,0.9475,0.01,0.2725,0.1675,0.265,299.129690466042
Riverdale Borough,0.02459016393442623,0.7712369597615499,0.13636363636363635,0.06929955290611028,0.06557377049180328,0.28315946348733234,6.15413054220665
Rockaway Borough,0.02820486712147439,0.6559413501680074,0.19967416760004073,0.06852662661643417,0.10396090011200489,0.20680175134914977,56.11238876016047
Rockaway Township,0.024028834601521828,0.6969162995594713,0.18237885462555067,0.061113336003203844,0.07721265518622347,0.22442931517821385,4455.574235740411
Roxbury Township,0.02391118701964133,0.7495018502704242,0.14019356675206376,0.0623398804440649,0.08169655565044122,0.2129234272701395,366.05917608311125
Washington Township,0.006818181818181818,0.8477272727272728,0.07727272727272727,0.02727272727272727,0.04393939393939394,0.2643939393939394,159.47292393839322
Wharton Borough,0.033670688984040485,0.3659984429739198,0.5146944336317634,0.09274036590112884,0.13244453094589334,0.1226158038147139,43.879076612629845
